ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast_direction
GO:0007015	actin filament organization	42/572	427/14485	0.09836065573770492	2.4908288432878596	6.34032959009489	4.781318241841917e-8	2.1257740903229163e-4	1.9215866365634147e-4	Spta1/Gsn/Actc1/Dstn/Myl9/Cnn3/Tpm2/Marcksl1/Wnt4/Shroom3/Met/Cald1/Tacstd2/Cdc42ep5/Cyfip1/Pak1/Rnh1/Tpm4/Acta1/Cnn1/Tpm1/Myo5c/Ooep/Naa80/Cnn2/Gas2l3/Pawr/Cobl/Myo1c/Cfl2/Actn1/Synpo2l/Sorbs3/Dmtn/Myh9/Sh3bp1/Lima1/Prkn/Myo1f/Svil/Pdlim1/Flna	42	DHX36KO_vs_WT_down
GO:0008544	epidermis development	31/572	296/14485	0.10472972972972973	2.652115620865621	5.822939510013525	7.429105744307002e-7	7.359222732943499e-4	6.652345667158718e-4	Klf7/Wnt10a/Gli2/Ptgs2/Irf6/Pax6/Fermt1/Lama5/Whrn/Cdkn2a/Ptch2/Errfi1/Cldn4/Met/Krtdap/Fgfr2/Tfdp1/Gab1/Gli1/Egfr/Krt14/Krt17/Dsp/Tfap2a/Ptch1/Flnb/Tgm1/Krt7/Hoxc13/Ppl/Clic5	31	DHX36KO_vs_WT_down
GO:0045104	intermediate filament cytoskeleton organization	12/572	53/14485	0.22641509433962265	5.733606016624885	7.000010039457154	7.763765868128036e-7	7.359222732943499e-4	6.652345667158718e-4	Dst/Nes/Krt20/Krt19/Krt14/Krt17/Dsp/Nefl/Eppk1/Krt7/Krt18/Ppl	12	DHX36KO_vs_WT_down
GO:0050673	epithelial cell proliferation	39/572	426/14485	0.09154929577464789	2.3183418693982074	5.599993321931637	9.231950392448801e-7	7.359222732943499e-4	6.652345667158718e-4	Gli2/Vash2/Irf6/Gata3/Pax6/Thbs1/B2m/Fermt1/Bcl2l1/Lama5/F3/Cdkn2a/Tek/Hspg2/Errfi1/Cdk6/Kit/Flt1/Tacstd2/Klk8/Fgfr2/Irs2/Marveld3/Sidt2/Prdm1/Gli1/Igfbp3/Egfr/Id2/Ptch1/Adk/Mmp14/Tgm1/Stk3/Eppk1/Tsc2/Nkx2-5/Lims2/Tcf7l2	39	DHX36KO_vs_WT_down
GO:0045103	intermediate filament-based process	12/572	54/14485	0.2222222222222222	5.627428127428127	6.907489422451251	9.628089590247174e-7	7.359222732943499e-4	6.652345667158718e-4	Dst/Nes/Krt20/Krt19/Krt14/Krt17/Dsp/Nefl/Eppk1/Krt7/Krt18/Ppl	12	DHX36KO_vs_WT_down
GO:0060485	mesenchyme development	31/572	300/14485	0.10333333333333333	2.616754079254079	5.737488163509305	9.931474673338055e-7	7.359222732943499e-4	6.652345667158718e-4	Rdh10/Wnt10a/Gbx2/Gata3/Pax6/Actc1/Spred1/Thbs1/Lama5/Wwtr1/Wnt4/Sema3e/Sema3c/Radil/Tead1/Fgfr2/Acta1/Nup133/Cited2/Pawr/Mdm2/Col1a1/Tfap2a/Edn1/Wnt7b/Tsc2/Nkx2-5/Acta2/Tcf7l2/Flna/Efnb1	31	DHX36KO_vs_WT_down
GO:0030239	myofibril assembly	13/572	65/14485	0.2	5.064685314685315	6.6593655708437085	1.2315475980557308e-6	7.822086601365399e-4	7.07074996898764e-4	Csrp1/Casq1/Actc1/Myl9/Acta1/Tpm1/Csrp2/Krt19/Cfl2/Edn1/Synpo2l/Krt8/Nkx2-5	13	DHX36KO_vs_WT_down
GO:0031032	actomyosin structure organization	24/572	202/14485	0.1188118811881188	3.0087239493180085	5.829322785730108	1.4661174643917964e-6	7.953342984954339e-4	7.189398753830921e-4	Csrp1/Casq1/Actc1/Myl9/Cnn3/Wnt4/Met/Tacstd2/Pak1/Acta1/Cnn1/Tpm1/Cnn2/Csrp2/Krt19/Cfl2/Edn1/Synpo2l/Sorbs3/Myh9/Krt8/Nkx2-5/Epb41l3/Pdlim1	24	DHX36KO_vs_WT_down
GO:0070252	actin-mediated cell contraction	15/572	88/14485	0.17045454545454544	4.3164931659249834	6.327269316863014	1.6230114197837738e-6	7.953342984954339e-4	7.189398753830921e-4	Gsn/Actc1/Camk2d/Sri/Parva/Tpm1/Myl6/Myl6b/Rangrf/Frmd6/Dsp/Tnnc1/Myh9/Acta2/Flna	15	DHX36KO_vs_WT_down
GO:0030048	actin filament-based movement	17/572	112/14485	0.15178571428571427	3.84373439060939	6.125706837230069	1.7888760649919788e-6	7.953342984954339e-4	7.189398753830921e-4	Gsn/Actc1/Camk2d/Sri/Parva/Tpm1/Myo5c/Myl6/Myl6b/Rangrf/Myo1c/Frmd6/Dsp/Tnnc1/Myh9/Acta2/Flna	17	DHX36KO_vs_WT_down
GO:0042692	muscle cell differentiation	37/572	413/14485	0.08958837772397095	2.2686847051253833	5.303745749004762	2.940217544840097e-6	0.001188382473123552	0.0010742345058564104	Fhl2/Csrp1/Casq1/Capn2/Actc1/Myl9/Lmna/Camk2d/Cth/Wnt4/Kit/Cxcl10/Met/Pak1/Sox6/Fgfr2/Cd81/Piezo1/Acta1/Tpm1/Csrp2/Mdm2/Meis1/Krt19/Id2/Cfl2/Actn1/Edn1/Synpo2l/Mmp14/Myh9/Wnt7b/Krt8/Nkx2-5/Svil/Efemp2/Casp7	37	DHX36KO_vs_WT_down
GO:1901879	regulation of protein depolymerization	15/572	94/14485	0.1595744680851064	4.040972325546794	5.997396860312576	3.820300512660454e-6	0.0013480548353080137	0.0012185698229528607	Map2/Spta1/Gsn/Dstn/Stmn2/Nes/Wdr47/Tpm1/Cfl2/Dmtn/Sh3bp1/Lima1/Map6d1/Svil/Mid1ip1	15	DHX36KO_vs_WT_down
GO:0032970	regulation of actin filament-based process	34/572	370/14485	0.0918918918918919	2.3270175770175774	5.242868633243196	4.287387481566374e-6	0.0013480548353080137	0.0012185698229528607	Spta1/Gsn/Dstn/Hck/Ccl27a/Wnt4/Sri/Met/Tacstd2/Cdc42ep5/Cyfip1/Pak1/Rnh1/Tpm1/Naa80/Cnn2/Rangrf/Myo1c/Cfl2/Frmd6/Dsp/Edn1/Synpo2l/Tnnc1/Sorbs3/Dmtn/Myh9/Sh3bp1/Lima1/Prkn/Myo1f/Svil/Acta2/Flna	34	DHX36KO_vs_WT_down
GO:0048568	embryonic organ development	41/572	489/14485	0.08384458077709611	2.1232320848885267	5.1233478467852285	4.5376838530296965e-6	0.0013480548353080137	0.0012185698229528607	Rdh10/Satb2/Gbx2/Gli2/Vash2/Gata3/Neurod1/Pax6/Nes/Ccn1/Whrn/Hspg2/Kit/E2f8/Tead1/Fgfr2/Gab1/Cited2/Prdm1/Lrig3/Gli1/Thoc5/Cobl/Egfr/Ntn1/Krt19/Tex19.1/Id2/Foxg1/Tfap2a/Edn1/Ptch1/Mmp14/Stk3/Wnt7b/Col2a1/Krt8/Nkx2-5/Clic5/Tcf7l2/Cited1	41	DHX36KO_vs_WT_down
GO:0060562	epithelial tube morphogenesis	34/572	371/14485	0.09164420485175202	2.3207452924434055	5.225319490482925	4.548093236531761e-6	0.0013480548353080137	0.0012185698229528607	Rdh10/Casp8/Wnt6/Gbx2/Gli2/Gata3/Lrp2/Lama5/Tek/Wnt4/Sema3e/Cxcl10/Shroom3/Flt1/Met/Tacstd2/Pak1/Tead1/Fgfr2/Col4a1/Cited2/Perp/Cobl/Ntn1/Tfap2a/Edn1/Ptch1/Irx2/Mmp14/Stk3/Tsc2/Nkx2-5/Ddr1/Cited1	34	DHX36KO_vs_WT_down
GO:0006935	chemotaxis	32/572	344/14485	0.09302325581395349	2.3556675882257276	5.159697644678992	6.372985391814367e-6	0.0017702632302555156	0.001600223740586585	Lrp2/Thbs1/Blvra/Flrt3/F3/Ccn1/Ccl27a/Creb3/Sema3e/Sema3c/Kit/Ppbp/Cxcl10/Spp1/Flt1/Met/Parva/Mtus1/Gab1/Ryk/Cmtm7/Perp/Slit3/Ntn1/Cxcl16/Edn1/Wnt7b/Tsc2/Dusp1/Gpsm3/Il17b/Gstp2	32	DHX36KO_vs_WT_down
GO:0042330	taxis	32/572	345/14485	0.0927536231884058	2.3488395662308705	5.141348222817839	6.768887745016592e-6	0.0017702632302555156	0.001600223740586585	Lrp2/Thbs1/Blvra/Flrt3/F3/Ccn1/Ccl27a/Creb3/Sema3e/Sema3c/Kit/Ppbp/Cxcl10/Spp1/Flt1/Met/Parva/Mtus1/Gab1/Ryk/Cmtm7/Perp/Slit3/Ntn1/Cxcl16/Edn1/Wnt7b/Tsc2/Dusp1/Gpsm3/Il17b/Gstp2	32	DHX36KO_vs_WT_down
GO:0003012	muscle system process	33/572	371/14485	0.0889487870619946	2.252488077959776	4.9552706360610825	1.1755696804452942e-5	0.002903657110699877	0.0026247514853451072	Ptgs2/Atp1b1/Casq1/Gsn/Actc1/Lmna/Camk2d/Tpm2/Errfi1/Sri/Kit/Gtf2ird2/Flt1/Met/Pak1/Tead1/Tpm4/Tpm1/Pawr/Myl6/Myl6b/Smtn/Meis1/Anxa6/Rangrf/Dsp/Edn1/Adk/Tnnc1/Nkx2-5/Acta2/Gsto1/Flna	33	DHX36KO_vs_WT_down
GO:0006936	muscle contraction	26/572	261/14485	0.09961685823754789	2.522640195053988	5.033134683381643	1.4279251161175687e-5	0.0032088094240005	0.0029005929353017284	Ptgs2/Atp1b1/Casq1/Gsn/Actc1/Camk2d/Tpm2/Sri/Kit/Flt1/Met/Tpm4/Tpm1/Pawr/Myl6/Myl6b/Smtn/Anxa6/Rangrf/Dsp/Edn1/Tnnc1/Nkx2-5/Acta2/Gsto1/Flna	26	DHX36KO_vs_WT_down
GO:1902903	regulation of supramolecular fiber organization	32/572	358/14485	0.0893854748603352	2.263546509356565	4.908396671823961	1.443459030139676e-5	0.0032088094240005	0.0029005929353017284	Map2/Spta1/Gsn/Dstn/Stmn2/Wdr47/Wnt4/Hspg2/Clip1/Met/Tacstd2/Cdc42ep5/Cyfip1/Pak1/Rnh1/Ldlr/Tpm1/Naa80/Myo1c/Cfl2/Edn1/Synpo2l/Sorbs3/Dmtn/Myh9/Sh3bp1/Lima1/Map6d1/Prkn/Svil/Mid1ip1/Flna	32	DHX36KO_vs_WT_down
GO:0010927	cellular component assembly involved in morphogenesis	16/572	119/14485	0.13445378151260504	3.404830463653993	5.340991592643863	1.7564311369463927e-5	0.0035495876522107553	0.0032086383162015925	Nfasc/Csrp1/Casq1/Actc1/Myl9/Pdcl2/Acta1/Tpm1/Csrp2/Krt19/Cfl2/Edn1/Synpo2l/Krt8/Nkx2-5/Epb41l3	16	DHX36KO_vs_WT_down
GO:0032989	cellular anatomical entity morphogenesis	16/572	119/14485	0.13445378151260504	3.404830463653993	5.340991592643863	1.7564311369463927e-5	0.0035495876522107553	0.0032086383162015925	Nfasc/Csrp1/Casq1/Actc1/Myl9/Pdcl2/Acta1/Tpm1/Csrp2/Krt19/Cfl2/Edn1/Synpo2l/Krt8/Nkx2-5/Epb41l3	16	DHX36KO_vs_WT_down
GO:0060537	muscle tissue development	36/572	433/14485	0.08314087759815242	2.105411909107059	4.7351189864272785	2.0917740804969902e-5	0.003763945315101309	0.003402406234594502	Fhl2/Casp8/Csrp1/Casq1/Lrp2/Actc1/Schip1/Lmna/Camk2d/Hspg2/Sema3c/Met/Pak1/Sox6/Fgfr2/Acta1/Usp2/Tpm1/Cited2/Csrp2/Gli1/Myl6/Myl6b/Meis1/Id2/Cfl2/Dsp/Edn1/Ptch1/Flnb/Tnnc1/Hdac7/Nkx2-5/Svil/Efemp2/Tcf7l2	36	DHX36KO_vs_WT_down
GO:1903729	regulation of plasma membrane organization	6/572	16/14485	0.375	9.496284965034965	6.894482651272762	2.1079466960718224e-5	0.003763945315101309	0.003402406234594502	Gsn/Sh3gl2/Anxa2/Myh9/Ahnak/Casp7	6	DHX36KO_vs_WT_down
GO:0009913	epidermal cell differentiation	20/572	176/14485	0.11363636363636363	2.8776621106166562	5.081606298372366	2.1164784722791886e-05	0.003763945315101309	0.003402406234594502	Klf7/Gli2/Ptgs2/Irf6/Pax6/Whrn/Cdkn2a/Ptch2/Errfi1/Gli1/Krt14/Krt17/Dsp/Tfap2a/Ptch1/Flnb/Tgm1/Krt7/Ppl/Clic5	20	DHX36KO_vs_WT_down
GO:0001667	ameboidal-type cell migration	25/572	259/14485	0.09652509652509653	2.4443461943461946	4.755669455691493	3.539520239595831e-5	0.006052579609708872	0.005471209827844892	Gbx2/Prr5l/Pax6/Thbs1/Fermt1/Lama5/Schip1/Sema3e/Sema3c/Kit/Radil/Tacstd2/Arhgdib/Pak1/Irs2/Marveld3/Amotl2/Tfap2a/Edn1/Dmtn/Eppk1/Tsc2/Acta2/Pdlim1/Efnb1	25	DHX36KO_vs_WT_down
GO:0043588	skin development	25/572	260/14485	0.09615384615384616	2.4349448628294783	4.73399320429336	3.774139720854187e-5	0.006099487369250404	0.005513611945876375	Wnt10a/Gli2/Ptgs2/Irf6/Pax6/Fermt1/Lama5/Cdkn2a/Ptch2/Errfi1/Cldn4/Met/Fgfr2/Egfr/Col1a1/Krt14/Krt17/Dsp/Tfap2a/Flnb/Tgm1/Krt7/Hoxc13/Ppl/Tcf7l2	25	DHX36KO_vs_WT_down
GO:0090257	regulation of muscle system process	23/572	229/14485	0.10043668122270742	2.543400922221883	4.773418733023555	3.886974422156089e-5	0.006099487369250404	0.005513611945876375	Ptgs2/Atp1b1/Casq1/Gsn/Lmna/Camk2d/Errfi1/Sri/Kit/Gtf2ird2/Flt1/Pak1/Tead1/Pawr/Smtn/Anxa6/Rangrf/Dsp/Edn1/Adk/Tnnc1/Nkx2-5/Gsto1	23	DHX36KO_vs_WT_down
GO:0003007	heart morphogenesis	25/572	261/14485	0.09578544061302682	2.4256155721672963	4.712416764480443	4.0226794035593134e-5	0.006099487369250404	0.005513611945876375	Fhl2/Gata3/Lrp2/Actc1/Thbs1/Ccn1/Tek/Sema3c/Parva/Tead1/Fgfr2/Tpm1/Cited2/Mdm2/Slit3/Id2/Dsp/Tfap2a/Edn1/Ptch1/Synpo2l/Tnnc1/Col2a1/Nkx2-5/Flna	25	DHX36KO_vs_WT_down
GO:0045109	intermediate filament organization	8/572	34/14485	0.23529411764705882	5.9584533113944875	5.869060903054068	4.1157134745279387e-5	0.006099487369250404	0.005513611945876375	Krt20/Krt19/Krt14/Krt17/Dsp/Nefl/Eppk1/Krt7	8	DHX36KO_vs_WT_down
GO:0031589	cell-substrate adhesion	30/572	345/14485	0.08695652173913043	2.202037093341441	4.58178380019017	4.4704782563264845e-5	0.006411531073428242	0.005795682846402213	Thbs1/Fermt1/Lama5/Ccn1/Cdkn2a/Tek/Wnt4/Cdk6/Sema3e/Spp1/Radil/Tacstd2/Bcam/Mia/Parva/Anxa2/Col1a1/Actn1/Vcl/Mmp14/Sorbs3/Dmtn/Myh9/Msln/Ddr1/Lims2/Efemp2/Vwa2/Flna/Egfl6	30	DHX36KO_vs_WT_down
GO:0045214	sarcomere organization	9/572	45/14485	0.2	5.064685314685315	5.537088546608636	5.440286750292046e-5	0.0075585984036870115	0.006832570662044419	Csrp1/Casq1/Tpm1/Csrp2/Krt19/Cfl2/Edn1/Synpo2l/Krt8	9	DHX36KO_vs_WT_down
GO:0003206	cardiac chamber morphogenesis	16/572	131/14485	0.12213740458015267	3.092937596754391	4.879073228424626	5.836283119498734e-5	0.007863065075542838	0.007107792328627165	Fhl2/Gata3/Lrp2/Ccn1/Tek/Sema3c/Parva/Fgfr2/Tpm1/Cited2/Mdm2/Slit3/Id2/Dsp/Tnnc1/Nkx2-5	16	DHX36KO_vs_WT_down
GO:0048754	branching morphogenesis of an epithelial tube	19/572	175/14485	0.10857142857142857	2.7494005994005994	4.720851706134291	6.353330508371812e-5	0.008307913953006198	0.007509912037450025	Rdh10/Wnt6/Gbx2/Gli2/Lama5/Tek/Wnt4/Sema3e/Flt1/Met/Tacstd2/Pak1/Fgfr2/Col4a1/Edn1/Ptch1/Mmp14/Ddr1/Cited1	19	DHX36KO_vs_WT_down
GO:0055002	striated muscle cell development	19/572	176/14485	0.10795454545454546	2.7337790050858235	4.69220860474008	6.866070563695101e-5	0.008721871350339548	0.007884107492387337	Fhl2/Csrp1/Casq1/Actc1/Myl9/Lmna/Camk2d/Met/Pak1/Acta1/Tpm1/Csrp2/Meis1/Krt19/Cfl2/Edn1/Synpo2l/Krt8/Nkx2-5	19	DHX36KO_vs_WT_down
GO:0001892	embryonic placenta development	14/572	106/14485	0.1320754716981132	3.3446035096978495	4.912356550910488	7.112829295683226e-5	0.008784344180168784	0.007940579605531742	Vash2/Ccn1/E2f8/Fgfr2/Gab1/Cited2/Prdm1/Egfr/Krt19/Tex19.1/Stk3/Wnt7b/Krt8/Cited1	14	DHX36KO_vs_WT_down
GO:0055001	muscle cell development	21/572	208/14485	0.10096153846153846	2.5566921059709524	4.585089218108888	7.747744129188786e-5	0.009225214113195927	0.008339102560357518	Fhl2/Csrp1/Casq1/Actc1/Myl9/Lmna/Camk2d/Met/Pak1/Acta1/Tpm1/Csrp2/Meis1/Krt19/Cfl2/Actn1/Edn1/Synpo2l/Krt8/Nkx2-5/Efemp2	21	DHX36KO_vs_WT_down
GO:0051146	striated muscle cell differentiation	27/572	305/14485	0.08852459016393442	2.2417459589590734	4.444024448216955	7.884798387346946e-5	0.009225214113195927	0.008339102560357518	Fhl2/Csrp1/Casq1/Capn2/Actc1/Myl9/Lmna/Camk2d/Cxcl10/Met/Pak1/Sox6/Cd81/Piezo1/Acta1/Tpm1/Csrp2/Meis1/Krt19/Cfl2/Edn1/Synpo2l/Mmp14/Myh9/Krt8/Nkx2-5/Casp7	27	DHX36KO_vs_WT_down
GO:0061138	morphogenesis of a branching epithelium	21/572	210/14485	0.1	2.5323426573426575	4.535334884576732	8.892434520345959e-5	0.009873860043121402	0.008925443957818384	Rdh10/Wnt6/Gbx2/Gli2/Tgm2/Lama5/Tek/Wnt4/Sema3e/Sema3c/Flt1/Met/Tacstd2/Pak1/Fgfr2/Col4a1/Edn1/Ptch1/Mmp14/Ddr1/Cited1	21	DHX36KO_vs_WT_down
GO:0001763	morphogenesis of a branching structure	22/572	226/14485	0.09734513274336283	2.4651123213070116	4.501035991311062	9.085498013194149e-5	0.009873860043121402	0.008925443957818384	Rdh10/Wnt6/Gbx2/Gli2/Tgm2/Lama5/Tek/Wnt4/Sema3e/Sema3c/Flt1/Met/Tacstd2/Pak1/Fgfr2/Col4a1/Prdm1/Edn1/Ptch1/Mmp14/Ddr1/Cited1	22	DHX36KO_vs_WT_down
GO:0051261	protein depolymerization	15/572	122/14485	0.12295081967213115	3.1135360541098245	4.753339954173226	9.144178785577143e-5	0.009873860043121402	0.008925443957818384	Map2/Spta1/Gsn/Dstn/Stmn2/Nes/Wdr47/Tpm1/Cfl2/Dmtn/Sh3bp1/Lima1/Map6d1/Svil/Mid1ip1	15	DHX36KO_vs_WT_down
GO:0033275	actin-myosin filament sliding	5/572	13/14485	0.38461538461538464	9.739779451317913	6.392043950820947	9.327533104163267e-5	0.009873860043121402	0.008925443957818384	Actc1/Tpm1/Myl6/Myl6b/Tnnc1	5	DHX36KO_vs_WT_down
GO:0072006	nephron development	17/572	152/14485	0.1118421052631579	2.8322253404490247	4.604304196006197	1.0573495080043764e-4	0.010932502122296413	0.009882400052780195	Wnt6/Gata3/Lama5/Wwtr1/Tek/Wnt4/Tacstd2/Gpr4/Nup133/Tfap2a/Edn1/Ptch1/Irx2/Wnt7b/Tsc2/Acta2/Cited1	17	DHX36KO_vs_WT_down
GO:0007411	axon guidance	22/572	230/14485	0.09565217391304348	2.422240802675585	4.408443925736739	1.1758514518487185e-4	0.011881444442998643	0.010740193404685185	Klf7/Gbx2/Gli2/Nfasc/Lamc2/Gata3/Lrp2/Pax6/Flrt3/Lama5/Nexn/Sema3e/Sema3c/Cyfip1/Ryk/Slit3/Ntn1/Foxg1/Edn1/Ptch1/Wnt7b/Efnb1	22	DHX36KO_vs_WT_down
GO:0097485	neuron projection guidance	22/572	231/14485	0.09523809523809523	2.4117549117549117	4.385597796833251	1.2527231721841555e-4	0.012310728439408544	0.011128243289452807	Klf7/Gbx2/Gli2/Nfasc/Lamc2/Gata3/Lrp2/Pax6/Flrt3/Lama5/Nexn/Sema3e/Sema3c/Cyfip1/Ryk/Slit3/Ntn1/Foxg1/Edn1/Ptch1/Wnt7b/Efnb1	22	DHX36KO_vs_WT_down
GO:0035456	response to interferon-beta	9/572	50/14485	0.18	4.558216783216783	5.110235231186089	1.2901949602776963e-4	0.012310728439408544	0.011128243289452807	Aim2/Capn2/Gbp7/Gbp3/Gbp2b/Gbp2/Ifitm1/Ndufa13/Gm11772	9	DHX36KO_vs_WT_down
GO:0060048	cardiac muscle contraction	14/572	112/14485	0.125	3.1654283216783217	4.664563300791952	1.3014040410530849e-4	0.012310728439408544	0.011128243289452807	Atp1b1/Gsn/Actc1/Camk2d/Sri/Met/Tpm1/Smtn/Rangrf/Dsp/Tnnc1/Nkx2-5/Gsto1/Flna	14	DHX36KO_vs_WT_down
GO:0048864	stem cell development	12/572	86/14485	0.13953488372093023	3.5335013823385917	4.7778893219625544	1.3578979501048836e-4	0.012321193133923295	0.011137702816326714	Rdh10/Gbx2/Pax6/Lama5/Sema3e/Sema3c/Radil/Cited2/Tfap2a/Edn1/Wnt7b/Efnb1	12	DHX36KO_vs_WT_down
GO:0048660	regulation of smooth muscle cell proliferation	18/572	170/14485	0.10588235294117647	2.6813039901275197	4.471023042065656	1.3579362653221805e-4	0.012321193133923295	0.011137702816326714	Ptgs2/Thbs1/Tgm2/Camk2d/Flt1/Pak1/Fgfr2/Cnn1/Tpm1/Mdm2/Igfbp3/Egfr/Id2/Edn1/Skp2/Gstp2/Efemp2/Tcf7l2	18	DHX36KO_vs_WT_down
GO:0035458	cellular response to interferon-beta	8/572	40/14485	0.2	5.064685314685315	5.21951356859836	1.4147216920765444e-4	0.012579705285944633	0.011371384042838413	Aim2/Capn2/Gbp7/Gbp3/Gbp2b/Gbp2/Ndufa13/Gm11772	8	DHX36KO_vs_WT_down
GO:0061180	mammary gland epithelium development	11/572	75/14485	0.14666666666666667	3.7141025641025642	4.778116962240277	1.6317188690316738e-4	0.013873422816869565	0.012540835834649242	Gli2/Irf6/Gata3/Cdkn2a/Wnt4/Fgfr2/Perp/Ntn1/Id2/Ptch1/Ddr1	11	DHX36KO_vs_WT_down
GO:0043627	response to estrogen	10/572	63/14485	0.15873015873015872	4.019591519591519	4.870096940261703	1.6487643768189664e-4	0.013873422816869565	0.012540835834649242	Gata3/Mme/Tek/Cited4/Ash2l/Cited2/Mdm2/Krt19/Mmp14/Cited1	10	DHX36KO_vs_WT_down
GO:0007431	salivary gland development	8/572	41/14485	0.1951219512195122	4.941156404571039	5.123936494946682	1.6976561947217866e-4	0.013873422816869565	0.012540835834649242	Tfcp2l1/Pax6/Tgm2/Lama5/Sema3c/Met/Fgfr2/Egfr	8	DHX36KO_vs_WT_down
GO:0050678	regulation of epithelial cell proliferation	29/572	354/14485	0.08192090395480225	2.0745179961281655	4.150120972516367	1.7005354366850887e-4	0.013873422816869565	0.012540835834649242	Gli2/Vash2/Irf6/Gata3/Pax6/Thbs1/B2m/Lama5/F3/Cdkn2a/Tek/Hspg2/Errfi1/Cdk6/Flt1/Tacstd2/Fgfr2/Irs2/Marveld3/Gli1/Egfr/Ptch1/Tgm1/Stk3/Eppk1/Tsc2/Nkx2-5/Lims2/Tcf7l2	29	DHX36KO_vs_WT_down
GO:0030834	regulation of actin filament depolymerization	9/572	52/14485	0.17307692307692307	4.38290075309306	4.955009627343634	1.766120984380811e-4	0.013873422816869565	0.012540835834649242	Spta1/Gsn/Dstn/Tpm1/Cfl2/Dmtn/Sh3bp1/Lima1/Svil	9	DHX36KO_vs_WT_down
GO:0110053	regulation of actin filament organization	23/572	253/14485	0.09090909090909091	2.302129688493325	4.2365605112509535	1.7783607985464008e-4	0.013873422816869565	0.012540835834649242	Spta1/Gsn/Dstn/Wnt4/Met/Tacstd2/Cdc42ep5/Cyfip1/Pak1/Rnh1/Tpm1/Naa80/Myo1c/Cfl2/Synpo2l/Sorbs3/Dmtn/Myh9/Sh3bp1/Lima1/Prkn/Svil/Flna	23	DHX36KO_vs_WT_down
GO:0051493	regulation of cytoskeleton organization	37/572	499/14485	0.07414829659318638	1.8776889443222111	4.04553551978487	1.7786439508807135e-4	0.013873422816869565	0.012540835834649242	Dst/Map2/Spta1/Gsn/Dstn/Hck/Stmn2/Schip1/Nes/Wdr47/Nexn/Ccl27a/Wnt4/Clip1/Met/Tacstd2/Cdc42ep5/Cyfip1/Pak1/Rnh1/Tpm1/Naa80/Myo1c/Cfl2/Edn1/Synpo2l/Sorbs3/Dmtn/Myh9/Sh3bp1/Lima1/Map6d1/Prkn/Myo1f/Svil/Mid1ip1/Flna	37	DHX36KO_vs_WT_down
GO:0016331	morphogenesis of embryonic epithelium	18/572	175/14485	0.10285714285714286	2.604695304695305	4.330356677362597	1.959757273161464e-4	0.015022553166337705	0.013579588509855661	Rdh10/Casp8/Wnt6/Gli2/Gata3/Lrp2/Lama5/Wnt4/Shroom3/Fgfr2/Cited2/Cobl/Tfap2a/Ptch1/Irx2/Stk3/Wnt7b/Tsc2	18	DHX36KO_vs_WT_down
GO:0044406	adhesion of symbiont to host	5/572	15/14485	0.3333333333333333	8.441142191142191	5.84632355955222	2.0377901803470162e-4	0.015355957867496328	0.013880968614745599	Gbp7/Gbp3/Gbp2b/Gbp2/Tmprss2	5	DHX36KO_vs_WT_down
GO:0010763	positive regulation of fibroblast migration	6/572	23/14485	0.2608695652173913	6.606111280024323	5.455610209885275	2.097828098670801e-4	0.015373830758433177	0.013897124756895108	Thbs1/Pak1/Tfap2a/Dmtn/Tsc2/Acta2	6	DHX36KO_vs_WT_down
GO:0072001	renal system development	28/572	341/14485	0.08211143695014662	2.0793429444455835	4.089614787513872	2.1093200095915964e-4	0.015373830758433177	0.013897124756895108	Rdh10/Wnt6/Gli2/Gata3/Lrp2/Cat/Lama5/Wwtr1/Mme/Schip1/Tek/Wnt4/Spp1/Tacstd2/Gpr4/Fgfr2/Col4a1/Nup133/Prdm1/Id2/Tfap2a/Edn1/Ptch1/Irx2/Wnt7b/Tsc2/Acta2/Cited1	28	DHX36KO_vs_WT_down
GO:0048659	smooth muscle cell proliferation	18/572	177/14485	0.1016949152542373	2.575263719331516	4.275454785978586	2.2591338126332143e-4	0.015929063649338358	0.014399025738848369	Ptgs2/Thbs1/Tgm2/Camk2d/Flt1/Pak1/Fgfr2/Cnn1/Tpm1/Mdm2/Igfbp3/Egfr/Id2/Edn1/Skp2/Gstp2/Efemp2/Tcf7l2	18	DHX36KO_vs_WT_down
GO:0097529	myeloid leukocyte migration	18/572	177/14485	0.1016949152542373	2.575263719331516	4.275454785978586	2.2591338126332143e-4	0.015929063649338358	0.014399025738848369	Thbs1/Ccl27a/Creb3/Kit/Ppbp/Cxcl10/Spp1/Flt1/Cd81/Mtus1/Perp/Cnn2/Pawr/Edn1/Mmp14/Dusp1/Myo1f/Il17b	18	DHX36KO_vs_WT_down
GO:0014032	neural crest cell development	11/572	78/14485	0.14102564102564102	3.5712524654832345	4.616758147565109	2.3288104750494672e-4	0.015929063649338358	0.014399025738848369	Rdh10/Gbx2/Pax6/Lama5/Sema3e/Sema3c/Radil/Cited2/Tfap2a/Edn1/Efnb1	11	DHX36KO_vs_WT_down
GO:1901880	negative regulation of protein depolymerization	11/572	78/14485	0.14102564102564102	3.5712524654832345	4.616758147565109	2.3288104750494672e-4	0.015929063649338358	0.014399025738848369	Map2/Spta1/Gsn/Stmn2/Wdr47/Tpm1/Dmtn/Lima1/Map6d1/Svil/Mid1ip1	11	DHX36KO_vs_WT_down
